% index X for GameFlag[X] = engine name = semantic name
%
% GameFlag[000-7FF] % 800DBC70 - 800DBD6F

000 = Flag_EVT_00 = unused
001 = Flag_EVT_01 = GF_StartedChapter1
002 = Flag_EVT_02 = GF_StartedChapter2
003 = Flag_EVT_03 = GF_StartedChapter3
004 = Flag_EVT_04 = GF_StartedChapter4
005 = Flag_EVT_05 = GF_StartedChapter5
006 = Flag_EVT_06 = GF_StartedChapter6
007 = Flag_EVT_07 = GF_StartedChapter7
008 = Flag_EVT_08 = GF_StartedChapter8
009 = Flag_EVT_09 = GF_DemoSceneDone
00A = Flag_EVT_0A = unused
00B = Flag_EVT_0B = unused
00C = Flag_EVT_0C = unused
00D = Flag_EVT_0D = unused
00E = Flag_EVT_0E = unused
00F = Flag_EVT_0F = unused
010 = Flag_EVT_10 = unused
011 = Flag_EVT_11 = unused
012 = Flag_EVT_12 = unused
013 = Flag_EVT_13 = unused
014 = Flag_EVT_14 = unused
015 = Flag_EVT_15 = unused
016 = Flag_EVT_16 = unused
017 = Flag_EVT_17 = unused
018 = Flag_EVT_18 = unused
019 = Flag_EVT_19 = unused
01A = Flag_EVT_1A = unused
01B = Flag_EVT_1B = unused
01C = Flag_EVT_1C = unused
01D = Flag_EVT_1D = unused
01E = Flag_KMR_00 = GF_KMR04_Tree3_Dolly
01F = Flag_KMR_01 = GF_KMR02_KeptDolly
020 = Flag_KMR_02 = GF_KMR02_Met_Goompapa
021 = Flag_KMR_03 = GF_KMR02_Goompapa_SaidFarewell
022 = Flag_KMR_04 = GF_KMR02_Met_Goomama
023 = Flag_KMR_05 = GF_KMR02_Goomama_SaidFarewell
024 = Flag_KMR_06 = GF_KMR02_Met_Goombario
025 = Flag_KMR_07 = GF_KMR02_Goombario_SwapDialogue
026 = Flag_KMR_08 = GF_KMR02_Met_Gooma
027 = Flag_KMR_09 = GF_KMR02_Gooma_HealthAdvice
028 = Flag_KMR_0A = GF_KMR02_Met_Goompa
029 = Flag_KMR_0B = GF_KMR02_Goompa_SwapDialogue
02A = Flag_KMR_0C = GF_KMR02_ToadHouse_Intro
02B = Flag_KMR_0D = GF_KMR02_ReturnedWithGoompa
02C = Flag_KMR_0E = unused
02D = Flag_KMR_0F = GF_KMR11_GoombaBrosFledToCastle
02E = Flag_KMR_10 = GF_KMR02_Item_ShootingStar
02F = Flag_KMR_11 = GF_KMR02_Bush2_Coin
030 = Flag_KMR_12 = GF_KMR02_Tree1_Goomnut
031 = Flag_KMR_13 = GF_KMR02_Item_FireFlower
032 = Flag_KMR_14 = GF_KMR03_ItemBlock_Coin
033 = Flag_KMR_15 = unused
034 = Flag_KMR_16 = GF_KMR03_HiddenItem_RepelGel
035 = Flag_KMR_17 = GF_KMR03_Tree1_Mushroom
036 = Flag_KMR_18 = GF_KMR03_Hammer1Block
037 = Flag_KMR_19 = unused
038 = Flag_KMR_1A = GF_KMR03_Item_CoinA
039 = Flag_KMR_1B = GF_KMR03_Item_CoinB
03A = Flag_KMR_1C = GF_KMR03_Item_CoinC
03B = Flag_KMR_1D = GF_KMR03_Item_CoinD
03C = Flag_KMR_1E = GF_KMR04_Tree1_Coin
03D = Flag_KMR_1F = GF_KMR04_Tree2_Coin
03E = Flag_KMR_20 = GF_KMR04_Bush1_Coin
03F = Flag_KMR_21 = GF_KMR04_Bush2_Coin
040 = Flag_KMR_22 = GF_KMR04_Bush3_CoinA
041 = Flag_KMR_23 = GF_KMR04_Bush3_CoinB
042 = Flag_KMR_24 = GF_KMR04_Bush4_Coin
043 = Flag_KMR_25 = GF_KMR04_Bush5_Coin
044 = Flag_KMR_26 = unused
045 = Flag_KMR_27 = unused
046 = Flag_KMR_28 = GF_KMR04_MultiCoinBrick
047 = Flag_KMR_29 = GF_KMR04_Hammer1Block
048 = Flag_KMR_2A = GF_KMR05_EnemyWarning
049 = Flag_KMR_2B = GF_KMR05_Tree1_Coin
04A = Flag_KMR_2C = GF_KMR05_Item_StarPiece
04B = Flag_KMR_2D = unused
