Index,Name,MenuIconID,Priority,Target,Sell Value,Menu Desc,Item Desc,Type,MoveID,HP,MP,Name,Desc
01,0026-00A0,38,0,00000008,FFFF,0000-0000,0000-0000,1020,00,0,0,Jump,null
02,0026-00A1,39,0,00000002,FFFF,0000-0000,0000-0000,1020,00,0,0,Spin Jump,null
03,0026-00A2,3A,0,00000001,FFFF,0000-0000,0000-0000,1020,00,0,0,Tornado Jump,null
04,0026-00A3,3B,0,00000008,FFFF,0000-0000,0000-0000,1020,00,0,0,Hammer,null
05,0026-00A4,3C,0,00000001,FFFF,0000-0000,0000-0000,1020,00,0,0,Super Hammer,null
06,0026-00A5,3D,0,00000002,FFFF,0000-0000,0000-0000,1020,00,0,0,Ultra Hammer,null
07,0026-00A6,3E,0,00000002,FFFF,0025-00A6,0023-00A6,1008,00,0,0,Lucky Star,null
08,0000-0000,140,0,00000002,FFFF,0000-0000,0000-0000,1020,00,0,0,Map,null
09,0000-0000,140,0,00000002,FFFF,0000-0000,0000-0000,1020,00,0,0,Big Map,null
0A,0026-00E2,78,0,00000002,FFFF,0025-00E2,0023-00E2,1008,00,0,0,First Degree Card,null
0B,0026-00E3,79,0,00000002,FFFF,0025-00E3,0023-00E3,1008,00,0,0,Second Degree Card,null
0C,0026-00E4,7A,0,00000002,FFFF,0025-00E4,0023-00E4,1008,00,0,0,Third Degree Card,null
0D,0026-00E5,7B,0,00000002,FFFF,0025-00E5,0023-00E5,1008,00,0,0,Fourth Degree Card,null
0E,0026-00E6,7C,0,00000002,FFFF,0025-00E6,0023-00E6,1008,00,0,0,Diploma,null
0F,0026-00E7,62,0,00000002,FFFF,0025-00E7,0023-00E7,1008,00,0,0,Ultra Stone,null
10,0026-00A7,40,0,00000008,FFFF,0025-00A7,0023-00A7,1009,00,0,0,Fortress Key,null
11,0026-00A8,41,0,00000008,FFFF,0025-00A8,0023-00A8,1009,00,0,0,Ruins Key,null
12,0026-00B0,47,0,00000008,FFFF,0025-00B0,0023-00B0,1009,00,0,0,Pulse Stone,null
13,0026-00A9,42,0,00000008,FFFF,0025-00A9,0023-00A9,1009,00,0,0,Castle Key 1,null
14,0026-00AA,43,0,00000008,FFFF,0025-00AA,0023-00AA,1009,00,0,0,Palace Key,null
15,0026-00B3,4C,0,00000008,FFFF,0025-00B3,0023-00B3,1009,00,0,0,Lunar Stone,null
16,0026-00B4,4A,0,00000008,FFFF,0025-00B4,0023-00B4,1009,00,0,0,Pyramid Stone,null
17,0026-00B5,4B,0,00000008,FFFF,0025-00B5,0023-00B5,1009,00,0,0,Diamond Stone,null
18,0026-00B2,49,0,00000008,FFFF,0025-00B2,0023-00B2,1009,00,0,0,Golden Vase,null
19,0026-00AF,46,0,00000008,FFFF,0025-00AF,0023-00AF,1009,00,0,0,Koopers Shell,null
1A,0026-00AB,44,0,00000008,FFFF,0025-00AB,0023-00AB,1009,00,0,0,Castle Key 2,null
1B,0000-0000,4D,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,Forest Pass,null
1C,0026-00B7,50,0,00000008,FFFF,0025-00B7,0023-00B7,1009,00,0,0,Weight,null
1D,0026-00B8,51,0,00000008,FFFF,0025-00B8,0023-00B8,1009,00,0,0,Boos Portrait,null
1E,0026-00C4,5D,0,00000008,FFFF,0025-00C4,0023-00C4,1009,00,0,0,Crystal Berry,null
1F,0026-00B9,52,0,00000008,FFFF,0025-00B9,0023-00B9,1009,00,0,0,Mystical Key,null
20,0026-00BA,53,0,00000008,FFFF,0025-00BA,0023-00BA,1009,00,0,0,Storeroom Key,null
21,0026-00BB,54,0,00000008,FFFF,0025-00BB,0023-00BB,1009,00,0,0,Toy Train,null
22,0026-00B6,4F,0,00000008,FFFF,0025-00B6,0023-00B6,1009,00,0,0,Record,null
23,0026-00BC,55,0,00000008,FFFF,0025-00BC,0023-00BC,1009,00,0,0,Frying Pan,null
24,0026-00BD,56,0,00000008,FFFF,0025-00BD,0023-00BD,1009,00,0,0,Dictionary,null
25,0026-00BE,57,0,00000008,FFFF,0025-00BE,0023-00BE,1009,00,0,0,Mystery Note,null
26,0000-0000,58,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,Suspicious Note,null
27,0026-00C9,7D,0,00000008,FFFF,0025-00C9,0023-00C9,1009,00,0,0,Crystal Ball,null
28,0026-010D,65,0,00000008,FFFF,0025-010D,0023-010D,1009,00,0,0,Screwdriver,null
29,0026-00CB,66,0,00000008,FFFF,0025-00CB,0023-00CB,1009,00,0,0,Cookbook,null
2A,0026-00CC,67,0,00000008,FFFF,0025-00CC,0023-00CC,1009,00,0,0,Jade Raven,null
2B,0026-00C0,59,0,00000008,FFFF,0025-00C0,0023-00C0,1009,00,0,0,Magical Seed 1,null
2C,0026-00C1,5A,0,00000008,FFFF,0025-00C1,0023-00C1,1009,00,0,0,Magical Seed 2,null
2D,0026-00C2,5B,0,00000008,FFFF,0025-00C2,0023-00C2,1009,00,0,0,Magical Seed 3,null
2E,0026-00C3,5C,0,00000008,FFFF,0025-00C3,0023-00C3,1009,00,0,0,Magical Seed 4,null
2F,0000-0000,63,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,Toad Doll,null
30,0026-00CA,64,0,00000008,FFFF,0025-00CA,0023-00CA,1009,00,0,0,Calculator,null
31,0026-00CF,68,0,00000008,FFFF,0025-00CF,0023-00CF,1009,00,0,0,Bucket,null
32,0026-00D0,69,0,00000008,FFFF,0025-00D0,0023-00D0,1009,00,0,0,Scarf,null
33,0026-00D2,6A,0,00000008,FFFF,0025-00D2,0023-00D2,1009,00,0,0,Red Key,null
34,0026-00D3,6B,0,00000008,FFFF,0025-00D3,0023-00D3,1009,00,0,0,Blue Key,null
35,0000-0000,88,0,00000008,FFFF,0000-0000,0000-0000,1009,00,0,0,a,null
36,0026-00EB,88,0,00000008,FFFF,0025-00EB,0023-00EB,1009,00,0,0,Letter 01,null
37,0026-00EC,88,0,00000008,FFFF,0025-00EC,0023-00EC,1009,00,0,0,Letter 02,null
38,0026-00ED,88,0,00000008,FFFF,0025-00ED,0023-00ED,1009,00,0,0,Letter 03,null
39,0026-00EE,88,0,00000008,FFFF,0025-00EE,0023-00EE,1009,00,0,0,Letter 04,null
3A,0026-00EF,88,0,00000008,FFFF,0025-00EF,0023-00EF,1009,00,0,0,Letter 05,null
3B,0026-00F0,88,0,00000008,FFFF,0025-00F0,0023-00F0,1009,00,0,0,Letter 06,null
3C,0026-00F1,88,0,00000008,FFFF,0025-00F1,0023-00F1,1009,00,0,0,Letter 07,null
3D,0026-00F2,88,0,00000008,FFFF,0025-00F2,0023-00F2,1009,00,0,0,Letter 08,null
